year,state,district,rape,attempt_to_rape,gang_rape,murder_with_rape,kidnapping_and_abduction,dowry_deaths,dowry_prohibition_act,cruelty_by_husband_or_relatives_498A,acid_attack,attempt_to_acid_attack,assault_on_women_modesty_354,assault_intent_disrobe_354B,voyeurism_354C,stalking_354D,insult_to_modesty_509,trafficking,procuration_of_minor_girls,importation_of_girls,immoral_traffic_act,indecent_representation_of_women,women_killed_in_honour_killing,witch_hunting,cyber_crime_obscenity_against_women,cyber_stalking_bullying_against_women,child_marriage_prohibition_act,pocso_rape,pocso_assault,pocso_harassment,pocso_unnatural_offences,pocso_other,abduction_for_marriage,abduction_for_illicit_intercourse,attempt_to_kidnap,domestic_violence_act_cases,abetment_to_suicide_women,attempt_to_murder_women,insult_outraging_modesty_other,sexual_harassment_workplace,dowry_harassment,marital_rape_reports,total_cases
2004,Andhra Pradesh,Andhra District 7,5,6,6,2,18,8,6,15,9,6,13,5,5,5,11,10,7,4,4,3,4,8,4,4,5,5,8,7,5,8,6,3,4,2,6,8,4,5,2,5,546
2004,Andhra Pradesh,Andhra District 8,11,5,3,9,11,8,5,20,9,4,20,5,3,6,5,5,5,8,6,5,8,6,8,5,7,2,9,5,1,6,7,3,9,6,3,4,5,15,3,3,549
2004,Andhra Pradesh,Andhra District 9,5,3,3,9,16,6,5,12,6,6,20,2,6,2,3,7,12,4,5,6,6,4,6,5,6,5,7,4,12,7,6,7,5,3,3,5,5,6,5,7,544
2004,Andhra Pradesh,Andhra District 10,3,6,4,3,13,5,5,25,7,4,16,4,4,11,5,6,7,13,5,8,1,6,5,2,5,6,12,5,4,3,8,7,8,8,3,8,3,7,5,13,570
2004,Andhra Pradesh,Andhra District 11,4,4,6,4,15,3,6,16,9,3,19,4,4,6,5,4,7,5,4,8,3,7,4,4,2,6,4,4,12,6,10,3,8,8,5,7,2,5,7,5,565
2004,Andhra Pradesh,Andhra District 12,3,12,10,7,15,6,3,16,7,8,15,3,4,5,4,6,9,5,8,7,5,6,7,4,3,5,7,3,3,3,6,3,4,7,11,4,6,7,1,7,552
2004,Andhra Pradesh,Andhra District 13,2,2,5,9,15,15,6,10,1,3,16,3,7,4,5,6,4,4,9,5,3,5,7,3,5,9,2,5,5,8,5,7,7,7,6,6,9,5,4,6,521
2004,Andhra Pradesh,Andhra District 14,3,7,4,2,20,8,8,12,6,6,18,10,9,8,6,4,7,8,7,3,2,5,10,3,8,5,3,3,4,5,6,5,7,3,8,8,4,3,9,7,581
2004,Arunachal Pradesh,Arunachal District 1,21,24,18,21,33,20,15,29,15,15,21,25,19,22,25,23,12,23,19,21,26,19,23,15,22,32,16,20,23,29,19,17,24,20,24,21,20,26,15,26,1930
2004,Arunachal Pradesh,Arunachal District 2,19,18,26,11,24,20,15,29,19,23,28,21,18,20,24,15,19,33,14,14,18,17,31,22,19,17,20,17,19,20,22,19,16,20,28,15,17,18,16,25,1849
2004,Arunachal Pradesh,Arunachal District 3,18,19,23,21,30,19,21,34,20,26,30,18,18,20,17,22,24,16,20,17,10,24,18,17,24,27,23,18,21,14,16,22,24,24,19,22,22,13,24,28,1859
2004,Arunachal Pradesh,Arunachal District 4,19,17,18,10,26,20,25,25,24,22,34,19,17,29,17,13,32,16,23,25,16,20,19,22,23,23,16,11,21,24,22,26,26,27,19,18,21,16,14,26,1839
2004,Arunachal Pradesh,Arunachal District 5,19,21,17,17,30,29,25,38,19,16,25,24,20,24,20,19,18,17,20,21,17,16,9,24,22,15,20,20,19,15,21,16,23,24,17,14,25,24,15,22,1850
2004,Arunachal Pradesh,Arunachal District 6,23,18,24,19,33,16,22,38,28,22,29,17,16,19,19,20,17,18,23,21,19,25,19,28,21,23,24,19,25,17,21,19,16,15,14,21,20,21,22,23,1912
2004,Arunachal Pradesh,Arunachal District 7,19,19,22,22,29,15,15,31,18,13,25,26,21,16,17,14,17,12,15,20,21,31,18,14,14,17,14,22,19,23,18,25,18,25,16,23,14,20,23,22,1849
2004,Arunachal Pradesh,Arunachal District 8,23,11,22,16,34,29,16,33,24,20,30,22,19,12,23,18,20,27,16,15,19,20,19,21,17,19,29,20,19,18,19,19,18,13,30,15,18,13,19,23,1830
2004,Arunachal Pradesh,Arunachal District 9,24,23,20,25,28,23,16,42,25,20,33,22,18,17,22,17,29,20,24,31,21,18,25,20,17,18,25,22,22,22,11,27,26,21,20,19,21,18,25,18,1886
2004,Arunachal Pradesh,Arunachal District 10,15,32,19,18,31,25,20,38,19,28,37,24,18,20,21,22,22,15,21,17,18,19,18,18,18,15,16,13,23,11,30,21,18,26,21,19,15,16,21,16,1875
2004,Arunachal Pradesh,Arunachal District 11,20,20,15,23,40,16,21,29,21,21,26,15,29,25,32,15,22,28,28,18,28,23,14,21,27,24,24,18,28,16,16,20,15,21,21,18,15,20,22,27,1938
2004,Assam,Assam District 1,7,7,3,6,13,8,4,13,11,6,20,3,8,7,9,5,13,7,6,10,4,7,8,3,9,7,4,9,0,4,5,9,7,3,5,6,5,8,6,5,601
2004,Assam,Assam District 2,5,10,7,2,14,4,5,15,11,7,19,8,5,9,1,4,8,3,5,8,6,4,3,2,8,8,6,3,7,8,8,2,5,8,5,4,5,5,5,5,565
2004,Assam,Assam District 3,7,4,4,3,12,4,6,15,2,7,13,8,4,9,4,8,4,5,2,8,7,2,4,6,3,5,6,6,4,6,3,2,8,3,7,8,13,6,3,7,537
2004,Assam,Assam District 4,6,4,8,8,17,6,2,20,5,6,9,4,2,6,9,8,7,12,7,7,5,6,4,3,5,6,8,8,4,9,7,8,3,8,6,6,2,4,6,5,564
2004,Assam,Assam District 5,7,6,5,8,8,7,3,19,4,6,13,6,4,8,5,1,1,10,9,7,2,2,6,5,4,6,3,3,7,7,8,3,3,3,5,2,4,7,4,4,527
2004,Assam,Assam District 6,6,11,7,3,14,3,5,18,6,14,10,5,9,6,4,6,4,1,7,8,2,2,4,11,5,6,6,9,2,8,6,7,4,4,5,10,4,10,4,8,556
2004,Assam,Assam District 7,1,6,13,4,21,6,6,16,7,13,16,3,9,9,1,5,5,3,8,9,5,5,4,3,6,4,4,6,9,8,9,7,2,4,4,5,4,10,3,4,553
2004,Assam,Assam District 8,5,3,5,6,12,6,6,12,3,10,18,4,10,4,8,5,5,8,6,8,5,5,7,4,6,5,10,3,4,5,2,2,4,7,10,8,4,7,8,9,536
2004,Assam,Assam District 9,9,7,5,10,11,4,5,17,6,4,15,4,7,5,7,2,9,3,6,5,6,8,4,4,6,3,5,7,3,14,8,6,8,8,8,5,3,5,7,8,559
2004,Assam,Assam District 10,5,4,6,8,17,6,9,14,13,2,15,6,5,5,4,12,7,5,2,6,10,4,4,5,9,6,9,4,3,2,6,10,8,5,3,3,5,6,9,8,596
2004,Assam,Assam District 11,10,12,5,7,20,7,9,7,5,8,15,8,5,6,5,5,6,6,3,5,5,4,4,9,5,3,6,4,8,8,5,3,6,7,1,7,4,1,5,5,495
2004,Assam,Assam District 12,4,4,4,2,20,7,4,16,4,9,12,5,5,2,9,10,6,3,8,3,5,7,5,6,4,2,6,2,6,5,7,9,6,4,6,3,6,5,6,6,523
2004,Assam,Assam District 13,8,5,5,6,8,3,5,16,4,4,12,5,3,13,5,9,2,5,6,2,3,3,7,9,9,3,7,4,7,7,8,7,2,6,11,6,6,4,8,5,548
2004,Assam,Assam District 14,4,8,8,3,9,9,2,15,1,9,15,1,5,7,1,4,8,3,3,8,3,9,8,6,6,5,4,7,8,6,9,4,8,5,6,4,6,5,5,10,528
2004,Assam,Assam District 15,9,4,8,6,10,5,1,12,5,11,12,6,11,5,12,5,7,7,10,5,8,7,10,7,4,5,3,5,7,6,3,6,9,4,7,9,8,10,7,9,569
2004,Assam,Assam District 16,6,3,4,4,19,5,5,20,3,8,14,7,5,7,6,6,4,6,4,8,5,7,2,9,2,2,6,12,7,4,5,6,4,7,5,7,2,4,9,7,558
2004,Assam,Assam District 17,2,7,10,2,10,7,3,9,8,4,24,5,2,10,2,3,8,2,3,3,6,4,4,10,6,1,13,5,4,5,6,8,8,3,8,5,9,8,3,7,529
2004,Assam,Assam District 18,13,6,8,6,28,6,4,11,2,4,9,7,4,9,5,3,7,3,7,4,8,8,7,3,8,7,6,6,8,5,5,4,6,5,6,8,5,6,8,5,558
2004,Bihar,Bihar District 1,30,31,30,31,36,39,34,46,31,30,40,32,28,35,31,28,28,33,29,34,32,27,29,22,27,31,35,37,26,33,30,34,37,33,33,28,27,34,29,27,2784
2004,Bihar,Bihar District 2,27,36,17,24,38,32,23,43,23,33,42,35,31,39,22,21,33,27,24,47,37,43,25,33,33,29,32,22,19,35,37,27,29,40,29,25,24,26,37,27,2738
2004,Bihar,Bihar District 3,23,27,32,22,39,34,29,43,39,28,45,38,31,30,37,23,34,35,39,38,34,36,33,35,29,27,29,25,31,33,35,31,39,30,28,27,35,33,34,25,2890
2004,Bihar,Bihar District 4,32,33,30,26,46,28,28,45,28,17,37,33,33,27,36,28,34,40,38,30,28,33,36,33,29,42,29,28,40,36,20,31,29,28,31,32,23,34,31,28,2789
2004,Bihar,Bihar District 5,23,26,35,35,30,24,32,36,25,33,38,31,33,22,30,21,34,32,23,23,31,36,32,35,28,35,26,34,30,30,31,36,28,25,26,39,29,32,23,25,2673
2004,Bihar,Bihar District 6,30,40,33,32,44,24,34,43,36,38,42,36,30,35,29,28,30,30,35,27,30,29,22,32,19,30,25,21,28,19,35,34,38,26,28,30,27,30,33,38,2817
2004,Bihar,Bihar District 7,34,25,32,29,32,26,29,41,34,30,44,31,31,32,28,53,32,26,28,22,31,34,29,30,26,26,16,24,28,37,38,34,35,31,26,43,36,38,27,22,2837
2004,Bihar,Bihar District 8,39,38,31,31,39,23,44,42,25,39,43,25,29,36,39,31,28,22,29,32,20,29,35,26,31,33,35,29,33,32,35,31,41,28,39,31,29,27,36,29,2843
2004,Bihar,Bihar District 9,27,34,26,28,46,37,37,45,27,29,36,42,23,29,22,40,34,29,32,32,27,29,44,29,30,23,24,28,30,22,23,39,28,36,30,32,32,25,37,28,2858
2004,Bihar,Bihar District 10,28,43,29,34,33,26,30,45,24,35,31,41,35,31,23,25,29,33,30,30,29,35,35,28,31,31,25,27,35,27,30,22,30,32,25,28,30,30,35,33,2781
2004,Bihar,Bihar District 11,29,36,31,39,39,35,30,65,27,28,35,13,24,30,28,37,25,30,36,34,34,45,31,42,31,38,29,31,35,28,19,19,16,28,32,31,24,38,36,28,2828
2004,Bihar,Bihar District 12,36,35,29,40,50,32,37,34,32,34,41,36,26,31,27,27,39,35,23,33,28,42,24,25,28,37,30,24,41,33,28,22,27,26,22,31,34,34,30,26,2864
2004,Bihar,Bihar District 13,40,26,25,26,37,37,36,41,32,31,37,36,34,26,37,30,30,41,38,29,28,30,32,34,32,25,39,27,37,38,24,24,22,30,29,32,27,31,30,33,2776
2004,Bihar,Bihar District 14,37,36,41,31,43,39,31,46,13,29,33,28,36,24,33,25,28,34,42,39,31,27,30,33,39,35,33,26,32,26,24,33,23,39,37,25,29,25,32,23,2851
2004,Bihar,Bihar District 15,38,29,42,28,46,29,24,46,28,42,50,29,25,33,36,28,27,39,29,36,22,24,32,40,35,26,25,45,40,25,31,34,24,30,25,31,39,27,29,42,2915
2004,Chhattisgarh,Chhattisgarh District 1,22,25,24,20,27,21,16,25,19,16,22,19,21,19,22,11,24,16,18,18,22,20,25,18,16,21,19,14,21,24,17,24,13,25,23,17,20,21,15,25,1815
2004,Chhattisgarh,Chhattisgarh District 2,23,13,24,29,26,23,19,35,19,23,28,22,11,22,22,24,20,24,18,21,17,23,35,20,29,21,22,21,21,19,25,23,19,21,20,18,11,26,33,23,1908
2004,Chhattisgarh,Chhattisgarh District 3,19,18,23,23,30,20,12,25,9,22,30,22,19,14,20,14,18,26,18,14,22,19,21,23,25,14,26,16,19,16,28,22,21,28,14,20,18,25,23,25,1850
2004,Chhattisgarh,Chhattisgarh District 4,22,19,17,15,28,24,22,37,17,19,31,21,18,26,26,16,20,24,15,26,25,18,23,21,31,24,19,11,16,22,19,20,22,25,9,20,16,19,23,25,1823
2004,Chhattisgarh,Chhattisgarh District 5,9,26,27,30,38,18,26,31,28,17,29,15,11,15,31,20,25,22,22,19,20,22,21,20,13,34,18,23,17,21,33,19,25,26,29,14,16,20,17,28,1886
2004,Chhattisgarh,Chhattisgarh District 6,23,20,25,15,23,23,19,40,10,24,22,24,18,22,27,15,19,20,22,24,15,22,28,34,20,20,19,24,25,20,17,21,22,17,20,19,21,22,26,16,1904
2004,Chhattisgarh,Chhattisgarh District 7,30,26,22,19,33,20,24,26,24,15,34,19,10,13,22,21,23,20,24,26,20,17,16,19,26,22,24,20,19,19,29,13,25,20,20,20,17,22,20,14,1936
2004,Chhattisgarh,Chhattisgarh District 8,16,17,18,22,27,16,20,31,13,21,37,17,22,15,16,17,22,19,27,18,23,27,19,10,20,20,22,21,24,20,25,16,24,23,24,18,19,19,23,18,1849
2004,Chhattisgarh,Chhattisgarh District 9,25,24,22,24,32,22,18,28,24,22,34,23,24,30,20,23,16,22,20,14,18,16,19,24,14,20,16,22,18,26,23,26,18,18,26,23,12,15,19,19,1906
2004,Chhattisgarh,Chhattisgarh District 10,18,20,23,23,34,16,25,23,20,15,33,18,22,21,27,16,26,26,23,20,20,27,22,21,13,14,20,26,24,20,22,24,22,15,17,20,25,26,19,16,1929
2004,Chhattisgarh,Chhattisgarh District 11,19,26,23,25,28,19,18,34,16,22,34,16,11,26,18,22,18,26,24,27,34,20,24,18,22,21,22,22,26,21,19,16,25,15,17,18,21,20,24,23,1929
2004,Chhattisgarh,Chhattisgarh District 12,19,29,18,27,25,21,14,35,22,21,35,23,22,22,27,20,24,27,21,18,20,18,21,24,17,23,18,19,24,18,13,13,21,24,20,17,21,17,20,23,1916
2004,Goa,Goa District 1,2,6,6,5,23,4,9,16,5,5,21,3,4,7,4,6,4,0,4,7,4,3,2,7,4,2,6,4,7,6,7,3,3,6,7,4,7,3,3,5,556
2004,Goa,Goa District 2,5,3,5,8,12,6,4,19,2,4,20,7,8,10,5,8,4,3,7,5,2,5,5,5,4,8,5,8,5,6,3,9,9,6,3,5,7,3,5,5,531
2004,Goa,Goa District 3,1,8,7,4,11,6,9,16,5,4,13,5,6,5,6,4,9,6,3,4,8,11,7,3,6,7,7,7,2,6,4,3,8,6,7,8,15,2,6,3,565
2004,Goa,Goa District 4,5,5,8,7,23,10,9,17,5,5,17,12,4,4,4,2,2,6,5,5,7,3,4,5,6,5,7,6,6,6,6,6,5,6,4,6,5,6,5,7,587
2004,Goa,Goa District 5,11,3,1,5,14,10,6,7,5,5,21,2,10,9,5,7,5,2,9,4,7,8,5,8,8,6,4,4,5,9,5,1,7,5,4,7,5,4,9,2,543
2004,Goa,Goa District 6,5,10,4,6,20,7,8,14,7,2,17,8,8,4,5,6,5,5,6,7,4,2,2,7,8,6,2,11,4,2,6,7,5,2,2,4,8,5,9,7,563
2004,Goa,Goa District 7,11,6,4,7,16,6,8,11,4,5,15,7,4,8,8,9,5,4,9,6,2,8,4,3,10,3,7,7,3,4,8,6,2,14,7,8,10,5,8,2,558
2004,Goa,Goa District 8,6,5,8,2,11,5,4,16,3,6,16,8,8,7,7,3,4,8,5,8,5,7,6,10,6,3,3,6,5,3,5,3,7,4,3,3,8,2,3,10,528
2004,Goa,Goa District 9,14,3,10,3,17,7,4,14,2,1,10,5,3,2,6,7,3,4,3,4,3,9,9,4,5,7,9,3,7,8,10,6,7,5,9,8,4,8,4,8,531
2004,Goa,Goa District 10,10,6,6,7,5,3,5,17,4,6,20,3,4,3,6,5,7,9,7,5,4,5,5,7,5,7,6,5,6,6,4,5,9,6,3,6,9,5,4,9,527
2004,Goa,Goa District 11,5,8,8,7,22,5,6,13,5,4,12,6,2,9,6,8,3,6,10,5,4,11,5,4,2,2,5,8,4,4,6,3,4,7,6,3,8,4,3,5,523
2004,Goa,Goa District 12,4,6,6,6,18,10,7,24,5,8,18,5,6,6,9,6,6,4,7,5,9,6,7,5,1,5,9,4,4,4,8,6,3,6,7,12,4,4,7,4,577
2004,Goa,Goa District 13,5,7,4,9,15,7,6,12,6,6,8,2,8,6,5,13,4,3,7,6,2,3,3,3,7,7,7,3,12,5,7,7,8,1,5,7,8,4,9,7,525
2004,Goa,Goa District 14,8,2,3,7,16,5,2,21,4,5,15,6,10,5,3,7,7,7,9,7,7,6,6,3,5,2,5,9,8,10,5,3,7,2,4,3,3,5,9,5,519
2004,Gujarat,Gujarat District 1,7,5,3,8,16,5,4,8,4,6,14,3,5,5,2,5,9,5,2,4,1,6,4,4,3,5,4,8,7,2,3,4,8,5,10,10,3,2,5,4,509
2004,Gujarat,Gujarat District 2,7,4,5,7,14,5,7,19,8,8,17,6,8,4,3,7,3,3,6,5,6,5,3,6,6,7,7,9,3,3,6,6,4,9,5,5,6,8,7,8,565
2004,Gujarat,Gujarat District 3,9,2,6,4,14,6,5,22,6,2,10,6,5,7,7,5,5,6,5,3,7,9,6,3,5,2,8,10,7,2,7,3,8,8,3,5,8,6,10,5,544
2004,Gujarat,Gujarat District 4,3,3,6,3,14,5,2,16,8,3,16,4,8,5,7,9,5,7,3,6,9,12,11,0,5,8,6,9,7,4,5,4,3,5,6,8,4,5,6,6,549
2004,Gujarat,Gujarat District 5,4,6,3,5,17,8,8,14,4,6,18,3,7,6,4,7,5,5,9,0,4,4,6,8,9,4,9,10,6,4,5,8,12,8,8,10,3,5,11,5,554
2004,Gujarat,Gujarat District 6,8,3,2,2,18,3,7,20,6,6,17,9,1,6,6,3,2,9,3,4,8,11,6,5,9,7,5,4,5,4,4,6,6,7,3,6,3,5,3,5,527
2004,Gujarat,Gujarat District 7,5,4,6,7,25,6,5,18,4,6,14,5,9,7,7,5,6,6,6,2,8,4,9,8,8,6,5,8,5,1,6,11,3,5,7,5,1,2,7,13,591
2004,Gujarat,Gujarat District 8,2,11,4,4,18,7,4,20,5,6,16,4,5,6,10,4,7,8,6,7,5,8,3,6,5,10,4,7,12,4,3,6,10,7,4,9,7,6,9,3,592
2004,Gujarat,Gujarat District 9,3,1,2,5,27,8,0,14,4,2,22,6,6,7,3,5,7,5,6,8,2,9,5,5,5,5,9,3,1,8,7,5,10,4,4,7,8,4,5,4,547
2004,Gujarat,Gujarat District 10,4,8,7,6,13,7,4,10,4,2,12,10,4,7,8,8,4,5,8,3,4,6,3,3,1,5,3,7,4,4,8,8,3,9,14,5,1,10,9,4,510
2004,Gujarat,Gujarat District 11,5,6,9,5,18,2,2,14,7,7,26,6,9,6,2,5,4,4,2,5,6,4,3,7,4,6,6,5,2,7,5,9,9,7,5,3,3,4,4,6,510
2004,Gujarat,Gujarat District 12,7,6,10,5,16,8,8,8,10,9,12,5,9,3,9,7,8,7,2,4,6,3,2,5,10,5,2,4,5,9,5,8,10,9,7,5,4,5,7,5,527
2004,Gujarat,Gujarat District 13,10,9,6,6,19,4,5,16,9,6,20,8,7,2,5,5,4,4,10,6,7,3,1,5,7,7,9,4,3,9,4,8,4,4,7,11,3,5,7,8,559
2004,Gujarat,Gujarat District 14,2,3,8,8,13,5,7,13,5,9,14,6,4,11,6,5,10,8,1,6,8,3,4,7,4,6,2,7,3,4,8,2,11,7,8,3,8,12,5,3,528
2004,Gujarat,Gujarat District 15,7,9,5,8,13,8,8,15,7,5,15,4,8,4,6,4,13,3,7,3,7,9,6,9,5,6,8,6,7,4,5,3,4,5,7,3,7,7,9,4,566
2004,Gujarat,Gujarat District 16,6,6,8,7,21,7,4,9,6,5,13,7,6,6,2,7,8,3,5,10,7,10,1,8,7,3,0,7,8,3,3,9,5,9,5,1,5,9,8,10,562
2004,Gujarat,Gujarat District 17,2,7,6,8,17,8,5,17,6,5,9,5,9,6,2,6,5,6,8,8,2,7,4,6,8,4,5,6,7,7,5,6,3,5,1,7,6,6,3,6,555
2004,Haryana,Haryana District 1,14,3,8,5,17,13,16,19,10,8,25,15,7,10,8,15,13,9,12,7,9,13,15,12,11,10,8,16,8,11,9,10,17,7,12,11,18,9,16,12,1012
2004,Haryana,Haryana District 2,14,8,10,9,26,6,10,16,17,14,17,11,10,11,10,11,15,13,8,6,11,17,11,11,11,12,7,7,13,5,10,5,12,11,10,13,7,8,19,7,971
2004,Haryana,Haryana District 3,11,10,11,9,18,11,8,17,15,14,29,11,18,5,13,14,9,9,10,12,5,9,17,9,11,12,10,13,8,9,11,8,20,8,7,7,14,8,10,11,1015
2004,Haryana,Haryana District 4,16,13,13,10,25,15,13,17,17,10,23,8,18,15,10,8,13,11,13,13,14,13,9,17,9,12,12,10,5,7,10,13,10,9,7,9,15,6,16,12,1055
2004,Haryana,Haryana District 5,5,14,17,12,18,7,11,11,9,18,24,8,7,10,8,10,11,6,10,8,8,11,10,12,16,11,11,10,10,16,15,8,11,7,3,9,8,13,9,13,973
2004,Haryana,Haryana District 6,9,10,14,12,18,9,9,17,10,13,26,11,7,9,8,9,11,8,7,12,21,17,12,6,8,18,6,19,11,10,11,11,9,9,9,10,12,10,9,15,957
2004,Haryana,Haryana District 7,15,14,11,6,24,15,12,21,11,9,17,21,16,7,16,9,15,16,7,13,8,8,13,11,9,11,11,11,8,8,5,11,7,9,14,11,11,11,9,7,978
2004,Haryana,Haryana District 8,8,12,14,10,22,9,14,25,12,11,21,11,12,10,8,9,10,15,12,6,15,10,14,9,17,13,10,7,6,5,18,14,9,12,8,6,7,18,13,11,1061
2004,Haryana,Haryana District 9,13,11,8,13,24,7,11,23,7,17,18,14,10,7,9,14,10,10,15,8,7,11,13,8,13,10,7,13,11,12,8,11,10,9,9,7,12,11,2,5,1015
2004,Haryana,Haryana District 10,9,11,14,16,22,10,15,13,11,15,21,20,12,15,9,14,18,14,13,22,8,7,16,7,10,8,11,13,5,16,14,9,13,11,10,13,12,14,5,7,1087
2004,Himachal Pradesh,Himachal District 1,6,7,3,5,14,4,4,16,5,9,7,7,4,8,10,3,6,3,4,8,6,6,7,6,9,3,4,8,4,7,4,7,7,7,7,6,4,2,8,3,562
2004,Himachal Pradesh,Himachal District 2,6,5,8,8,13,7,4,12,3,6,12,7,4,7,7,3,4,10,3,7,6,3,7,4,4,9,4,5,9,5,9,3,6,4,6,3,8,9,2,2,536
2004,Himachal Pradesh,Himachal District 3,4,9,2,5,12,8,9,18,10,1,12,5,4,4,6,8,5,7,6,5,6,7,5,7,3,3,8,13,5,4,8,10,7,9,6,2,2,12,7,1,541
2004,Himachal Pradesh,Himachal District 4,5,5,8,5,18,6,7,18,8,5,19,6,6,4,1,6,5,3,6,5,5,7,2,4,5,7,5,4,4,5,5,8,2,4,6,11,4,6,7,7,528
2004,Himachal Pradesh,Himachal District 5,4,4,3,9,15,7,6,19,7,9,20,8,10,4,3,6,5,5,8,4,5,5,7,6,8,1,9,8,7,2,5,9,8,5,5,2,5,2,3,6,593
2004,Himachal Pradesh,Himachal District 6,2,1,7,6,19,3,5,18,5,3,7,8,6,3,4,4,6,6,5,7,7,7,7,4,5,3,4,10,14,4,8,11,8,6,5,4,4,4,4,8,518
2004,Himachal Pradesh,Himachal District 7,5,5,8,2,20,2,5,14,5,5,22,5,3,9,2,3,2,6,8,4,2,5,2,9,12,3,1,4,9,5,3,5,5,4,11,7,8,4,4,8,520
2004,Himachal Pradesh,Himachal District 8,8,1,8,4,15,5,7,13,7,6,15,5,3,6,4,5,4,5,6,7,7,3,5,6,2,8,6,6,5,9,4,7,4,7,3,8,7,2,6,4,543
2004,Himachal Pradesh,Himachal District 9,5,11,3,5,9,5,4,11,6,4,16,5,5,6,5,12,7,4,4,3,5,1,5,5,2,5,2,4,7,2,7,7,9,6,1,7,8,6,4,7,521
2004,Himachal Pradesh,Himachal District 10,4,3,11,3,24,6,2,16,0,5,17,9,6,10,7,5,11,7,7,7,7,8,6,5,5,6,8,3,3,12,8,9,9,5,6,8,7,4,9,7,573
2004,Himachal Pradesh,Himachal District 11,8,5,5,4,18,7,6,13,6,4,7,4,6,4,6,7,4,9,9,6,7,7,3,7,7,5,4,5,11,6,6,4,5,7,8,8,7,8,2,7,579
2004,Himachal Pradesh,Himachal District 12,7,7,10,4,19,4,5,16,6,4,14,2,4,1,9,3,9,9,7,5,9,4,6,7,3,12,0,5,5,8,4,2,7,5,2,3,7,7,7,6,520
2004,Himachal Pradesh,Himachal District 13,7,1,5,4,11,5,12,15,6,10,16,8,6,5,7,6,0,2,7,3,5,4,6,6,4,3,2,4,4,7,2,8,5,3,5,7,2,6,8,5,524
2004,Himachal Pradesh,Himachal District 14,4,4,4,6,16,9,8,23,8,3,17,2,2,6,7,4,8,3,5,6,3,2,7,3,8,4,5,6,4,9,1,4,11,4,5,4,6,10,7,2,536
2004,Jammu and Kashmir,Jammu District 1,5,8,1,1,19,8,10,13,4,9,15,9,11,6,7,5,6,6,7,3,2,2,7,6,3,8,3,10,3,2,8,5,12,7,8,8,6,4,4,3,525
2004,Jammu and Kashmir,Jammu District 2,4,5,7,5,8,9,7,8,5,4,19,9,7,3,5,5,6,2,3,9,5,5,2,6,3,4,4,6,2,5,5,7,5,5,6,2,7,5,3,2,530
2004,Jammu and Kashmir,Jammu District 3,7,2,4,6,22,7,2,16,6,5,17,5,6,7,5,7,4,3,4,8,8,5,4,5,3,4,3,3,7,7,6,5,6,7,4,12,7,3,8,8,587
2004,Jammu and Kashmir,Jammu District 4,5,8,7,7,15,7,5,15,6,5,11,5,6,9,9,6,6,6,9,3,6,11,5,3,2,6,9,7,7,2,6,14,1,5,4,9,6,9,3,4,580
2004,Jammu and Kashmir,Jammu District 5,5,5,3,3,22,6,6,18,5,9,18,5,3,6,9,6,6,9,3,6,8,8,2,6,5,2,5,7,6,6,11,8,8,9,5,4,2,8,5,9,566
2004,Jammu and Kashmir,Jammu District 6,8,6,4,6,12,10,5,15,5,6,18,3,4,5,5,7,7,9,7,9,11,7,7,3,5,4,3,4,5,8,4,10,8,5,7,6,5,7,3,4,538
2004,Jammu and Kashmir,Jammu District 7,5,2,8,7,21,2,6,11,3,11,19,6,6,8,3,4,5,8,10,6,1,4,4,6,4,4,3,4,4,5,7,6,6,5,3,8,8,5,6,6,540
2004,Jammu and Kashmir,Jammu District 8,6,6,6,10,12,5,9,12,5,5,13,4,8,2,8,6,4,5,6,6,7,8,5,1,6,4,6,2,8,6,7,11,5,4,2,2,4,4,11,5,528
2004,Jammu and Kashmir,Jammu District 9,7,4,9,7,15,7,6,14,6,6,15,1,3,2,5,6,8,7,7,2,5,11,4,4,7,5,7,11,7,5,3,4,8,9,6,7,6,4,8,4,571
2004,Jammu and Kashmir,Jammu District 10,1,3,7,2,18,6,6,19,12,7,12,7,9,6,7,3,1,5,2,9,6,6,4,5,6,5,4,7,4,8,6,4,8,6,3,6,3,7,4,6,555
2004,Jammu and Kashmir,Jammu District 11,6,1,4,0,25,4,6,17,7,7,14,9,6,5,6,8,6,6,4,10,8,5,15,10,6,5,5,6,6,5,5,9,5,4,6,9,6,6,6,2,565
2004,Jammu and Kashmir,Jammu District 12,4,6,5,7,12,2,5,12,8,5,11,4,7,4,8,4,7,6,8,8,9,8,6,1,9,8,6,2,6,7,1,0,6,7,7,7,9,5,7,1,531
2004,Jammu and Kashmir,Jammu District 13,5,6,10,6,21,1,6,14,1,6,11,10,5,5,6,3,6,9,7,6,5,3,6,5,6,3,5,6,2,7,7,3,11,3,4,4,6,8,3,4,534
2004,Jammu and Kashmir,Jammu District 14,6,12,5,4,13,3,6,11,6,10,18,5,4,8,4,6,5,5,2,7,3,7,2,7,5,4,7,11,5,7,2,9,8,9,6,7,7,4,9,5,557
2004,Jammu and Kashmir,Jammu District 15,3,6,6,8,8,10,5,11,7,4,13,4,10,5,5,9,6,2,8,5,4,11,7,6,4,7,9,7,5,6,4,5,7,4,9,6,5,8,3,3,530
